time[s],value[g],targetTime[g],target[g]
6.9141387939453125e-06,0.0,0.0,100.0
0.08029794692993164,0.0,0.1,100.0
0.15975403785705566,0.0,0.2,100.0
0.24057292938232422,0.0,0.3,100.0
0.322559118270874,0.0,0.4,100.0
0.42243003845214844,0.0,0.5,100.0
0.5224049091339111,2.0,0.6,100.0
0.6223838329315186,2.0,0.7,100.0
0.7223870754241943,36.0,0.8,100.0
0.8223910331726074,28.0,0.9,100.0
0.922389030456543,8.0,1.0,100.0
1.0223870277404785,0.0,1.1,100.0
1.1224210262298584,2.0,1.2,100.0
1.2224271297454834,0.0,1.3,100.0
1.3223779201507568,25.0,1.4,100.0
1.4223439693450928,44.0,1.5,100.0
1.522463083267212,43.0,1.6,100.0
1.622391939163208,9.0,1.7,100.0
1.722350835800171,2.0,1.8,100.0
1.8223850727081299,2.0,1.9,100.0
1.9223558902740479,5.0,2.0,100.0
2.0223629474639893,50.0,2.1,100.0
2.1224329471588135,68.0,2.2,100.0
2.2223918437957764,71.0,2.3,100.0
2.3224141597747803,80.0,2.4,100.0
2.422705888748169,83.0,2.5,100.0
2.522413969039917,85.0,2.6,100.0
2.622330904006958,83.0,2.7,100.0
2.722360849380493,83.0,2.8,100.0
2.8223488330841064,87.0,2.9,100.0
2.9223248958587646,90.0,3.0,100.0
3.0223870277404785,91.0,3.1,100.0
3.122351884841919,94.0,3.2,100.0
3.2223150730133057,99.0,3.3,100.0
3.3224170207977295,99.0,3.4,100.0
3.422421932220459,101.0,3.5,100.0
3.5223639011383057,102.0,3.6,100.0
3.6223299503326416,102.0,3.7,100.0
3.722352981567383,102.0,3.8,100.0
3.822299003601074,104.0,3.9,100.0
3.922369956970215,107.0,4.0,100.0
4.02236008644104,107.0,4.1,100.0
4.122327089309692,104.0,4.2,100.0
4.22236704826355,98.0,4.3,100.0
4.322319984436035,69.0,4.4,100.0
4.422315835952759,19.0,4.5,100.0
4.522402048110962,14.0,4.6,100.0
4.622370004653931,20.0,4.7,100.0
4.72229790687561,38.0,4.8,100.0
4.822357892990112,57.0,4.9,100.0
4.92231297492981,82.0,5.0,100.0
5.022290945053101,99.0,5.1,100.0
5.122357130050659,110.0,5.2,100.0
5.2223060131073,115.0,5.3,100.0
5.322295904159546,113.0,5.4,100.0
5.422344923019409,112.0,5.5,100.0
5.522334814071655,107.0,5.6,100.0
5.622290849685669,102.0,5.7,100.0
5.722298860549927,102.0,5.8,100.0
5.822303056716919,98.0,5.9,100.0
5.9222800731658936,91.0,6.0,100.0
6.0223610401153564,94.0,6.1,100.0
6.122320890426636,98.0,6.2,100.0
6.2222700119018555,101.0,6.3,100.0
6.322426080703735,104.0,6.4,100.0
6.422302007675171,106.0,6.5,100.0
6.522357940673828,107.0,6.6,100.0
6.621286153793335,107.0,6.7,100.0
6.722285032272339,106.0,6.8,100.0
6.822270154953003,106.0,6.9,100.0
6.92228102684021,104.0,7.0,100.0
7.022287130355835,104.0,7.1,100.0
7.12225604057312,104.0,7.2,100.0
7.22226095199585,104.0,7.3,100.0
7.322296857833862,106.0,7.4,100.0
7.422343015670776,106.0,7.5,100.0
7.5222718715667725,106.0,7.6,100.0
7.622275114059448,106.0,7.7,100.0
7.72229790687561,104.0,7.8,100.0
7.8222668170928955,104.0,7.9,100.0
7.9222681522369385,102.0,8.0,100.0
8.022254943847656,104.0,8.1,100.0
8.12225890159607,104.0,8.2,100.0
8.222263097763062,106.0,8.3,100.0
8.322247982025146,104.0,8.4,100.0
8.422261953353882,104.0,8.5,100.0
8.522294998168945,106.0,8.6,100.0
8.622339010238647,106.0,8.7,100.0
8.721811056137085,106.0,8.8,100.0
8.822338819503784,104.0,8.9,100.0
8.92221999168396,104.0,9.0,100.0
9.02216100692749,104.0,9.1,100.0
9.122276067733765,102.0,9.2,100.0
9.22222900390625,104.0,9.3,100.0
