time[s],value[g],targetTime[g],target[g]
2.002716064453125e-05,38.0,0.0,100.0
0.09627890586853027,38.0,0.1,100.0
0.19620585441589355,42.0,0.2,100.0
0.2962489128112793,42.0,0.3,100.0
0.3962438106536865,42.0,0.4,100.0
0.49616193771362305,44.0,0.5,100.0
0.5961868762969971,44.0,0.6,100.0
0.6961989402770996,47.0,0.7,100.0
0.7962298393249512,52.0,0.8,100.0
0.8962759971618652,53.0,0.9,100.0
0.9962430000305176,57.0,1.0,100.0
1.096207857131958,60.0,1.1,100.0
1.1964988708496094,61.0,1.2,100.0
1.2965338230133057,61.0,1.3,100.0
1.3963468074798584,58.0,1.4,100.0
1.4963207244873047,60.0,1.5,100.0
1.596303939819336,69.0,1.6,100.0
1.6971118450164795,71.0,1.7,100.0
1.7962417602539062,80.0,1.8,100.0
1.8963589668273926,80.0,1.9,100.0
1.9962549209594727,80.0,2.0,100.0
2.0962278842926025,82.0,2.1,100.0
2.1962578296661377,93.0,2.2,100.0
2.2962088584899902,90.0,2.3,100.0
2.3962738513946533,88.0,2.4,100.0
2.4961838722229004,83.0,2.5,100.0
2.5961368083953857,79.0,2.6,100.0
2.6961848735809326,79.0,2.7,100.0
2.7961807250976562,79.0,2.8,100.0
2.8962507247924805,79.0,2.9,100.0
2.9965577125549316,79.0,3.0,100.0
3.096348762512207,80.0,3.1,100.0
3.1962978839874268,82.0,3.2,100.0
3.2962448596954346,80.0,3.3,100.0
3.3963258266448975,93.0,3.4,100.0
3.496271848678589,80.0,3.5,100.0
3.596224784851074,80.0,3.6,100.0
3.6962499618530273,80.0,3.7,100.0
3.7961606979370117,80.0,3.8,100.0
3.8961730003356934,80.0,3.9,100.0
3.9961788654327393,80.0,4.0,100.0
4.096193790435791,80.0,4.1,100.0
4.19627571105957,80.0,4.2,100.0
4.296302795410156,82.0,4.3,100.0
4.396119832992554,82.0,4.4,100.0
4.496203899383545,85.0,4.5,100.0
4.596164703369141,88.0,4.6,100.0
4.696156978607178,86.0,4.7,100.0
4.796127796173096,86.0,4.8,100.0
4.8961498737335205,86.0,4.9,100.0
4.995389938354492,86.0,5.0,100.0
5.096167802810669,86.0,5.1,100.0
5.196193695068359,91.0,5.2,100.0
5.29572868347168,90.0,5.3,100.0
5.3961639404296875,90.0,5.4,100.0
5.496173858642578,88.0,5.5,100.0
5.596124887466431,88.0,5.6,100.0
5.696171760559082,88.0,5.7,100.0
5.796165943145752,90.0,5.8,100.0
5.896139860153198,90.0,5.9,100.0
5.996177911758423,90.0,6.0,100.0
6.096277713775635,88.0,6.1,100.0
6.1961517333984375,90.0,6.2,100.0
6.295399904251099,88.0,6.3,100.0
